ENSEMBLID	Control	Control.1	Control.2	shEZH2_d4	shEZH2_d4.1	shEZH2_d4.2	shEZH2_d8	shEZH2_d8.1	shEZH2_d8.2
ENSG00000002549.8	18.90332823	17.81942473	16.71430997	12.89845529	13.33423972	10.67102255	14.73634114	16.12211672	14.34468101
ENSG00000002586.13	0.072485863	0.085727743	0.054495642	0.033382222	0.04973619	0	0.032746438	0.034325749	0.069844009
ENSG00000002587.5	0.108273555	0.078801976	0.076704985	0.165572984	0.110009192	0.155374745	0.021948588	0.009202854	0.008025182
ENSG00000002745.8	1.678933523	1.393651368	1.317120049	1.221441938	1.377392005	1.059162463	1.494975472	0.852673647	1.125385965
ENSG00000002746.10	0.316563498	0.273595636	0.291544853	0.17531981	0.163743006	0.176662513	0.166846989	0.166821749	0.180669173
ENSG00000002822.11	9.06995648	9.206030934	11.11607659	4.124484261	4.550092648	4.484700451	5.705535926	6.326473319	4.54636657
ENSG00000002834.13	190.1574546	185.520276	215.8538787	76.43836905	82.80028243	89.51051193	102.6453828	110.4215425	78.73595853
ENSG00000002919.10	7.695252239	7.729190529	8.027558603	6.313343983	7.575583107	7.975386527	13.28087514	14.10895545	8.823233611
ENSG00000002933.3	0.029324138	0.011560379	0.012860282	0.042014838	0.035211336	0.020261093	0	0	0
ENSG00000003056.3	25.75901764	24.49104701	24.54413283	12.68390075	12.53003034	13.67962806	19.19022754	20.45399029	16.7868131
ENSG00000003096.9	0.574643355	0.587468562	0.410055705	0.565169663	0.450261024	0.449195367	0.11293449	0.193714611	0.229926119
ENSG00000003137.4	0.128837143	0.064157222	0.080292781	1.238725598	1.12363128	1.335272693	2.601814946	2.082935293	2.090803948
ENSG00000003147.13	0	0	0	0	0	0	0.014658121	0	0.013398822
ENSG00000003249.9	5.938054616	5.435557595	7.190051581	6.723304523	7.385259369	8.856073719	11.46027388	14.72284211	8.931330325
ENSG00000003393.10	3.917873525	3.130391607	2.960891358	5.329467429	5.046649427	4.919449405	5.459321073	4.658448256	8.039407164
ENSG00000003400.10	0.049232492	0.084692937	0.070662156	0.043285292	0.010748463	0.018554447	0.047178776	0.024727069	0.034500467
ENSG00000003402.15	2.179731395	1.976293691	1.962181757	2.124935668	2.017382264	2.194938405	2.741628448	2.451865356	2.91189497
ENSG00000003436.10	2.142444428	2.224827208	1.833331262	16.34955996	14.16655171	11.74003386	5.303215811	4.141168889	10.72739863
ENSG00000003509.11	2.403069308	2.159089966	2.254815006	3.182822469	2.885516384	2.50985608	2.788383248	2.490608426	3.096289305
ENSG00000003756.12	5.293793123	4.930342194	4.453378778	6.724817612	6.632278738	6.159571612	5.573346017	5.363751474	7.907270347
ENSG00000003987.9	0.077667063	0.148381892	0.094323798	0.121979216	0.129128851	0.092878175	0.031488435	0.039608489	0.097862949
ENSG00000003989.12	8.100407542	6.441074645	5.688124767	5.482516445	4.56631705	4.075037648	1.736772195	1.183584837	2.843521472
ENSG00000004059.6	48.96460185	52.12720705	65.21031182	45.52664157	50.63255801	56.36053483	71.57791405	79.50851357	40.64766696
ENSG00000004139.9	1.221079401	1.127623136	1.320440384	0.907718377	0.753198698	0.797457886	0.528968528	0.651513865	0.515759065
ENSG00000004142.7	70.97617804	75.55710409	87.11201992	38.7799754	43.57915993	43.71760097	56.35511872	62.70070487	40.52154969
ENSG00000004399.8	29.52584023	27.63012491	32.03262538	22.84557019	23.51548316	26.22502214	30.5972026	35.28323256	28.64488835
ENSG00000004455.12	29.73973924	33.19818018	32.58537301	16.90480083	17.45281681	17.50115283	15.49161389	17.53467754	11.71602577
ENSG00000004468.8	0.009921583	0	0	0	0	0.015424145	0	0	0.004779988
ENSG00000004478.5	47.19459165	52.83893488	60.04643151	23.09059001	25.43061162	26.33072629	40.14836828	43.63210344	28.61922442
ENSG00000004487.11	27.98786608	30.66415889	28.83887938	23.83608692	24.47605846	22.76280426	22.14489631	22.53687414	20.75973735
ENSG00000004534.10	6.554350484	6.550666584	5.736644204	6.272278581	5.526494677	5.33007742	4.792619113	5.01346534	6.863077386
ENSG00000004660.10	2.015455144	2.026096563	2.284052979	2.968085978	3.030604803	3.361109013	1.467849666	1.842321161	1.346158342
ENSG00000004700.11	5.229649737	6.13178658	5.660709518	12.85464702	12.40782347	9.534024117	5.493669997	4.644691217	15.58548761
ENSG00000004766.11	0.605356091	0.754200445	0.601895807	1.375492081	1.231827352	0.924327364	0.496852325	0.485072576	1.536153316
ENSG00000004776.7	56.40056824	54.6757523	76.38693944	21.96364072	26.5583168	28.79706683	22.54453424	29.50159282	16.02187042
ENSG00000004777.14	1.868402855	1.63626835	1.930834452	1.035136571	1.009190793	1.031863572	0.606527114	0.64292259	0.523272381
ENSG00000004779.5	31.34948864	38.00653779	36.54774039	26.24201469	28.53234669	28.591834	39.22944114	44.50319095	23.08012752
ENSG00000004799.7	9.075350147	8.65958341	7.940300771	71.59691416	63.54072887	54.55476401	13.21534829	10.16086742	19.30189641
ENSG00000004809.9	0	0	0	0.009639252	0	0.009296801	0	0.0099117	0
ENSG00000004838.9	0.152684472	0.20064135	0.212042283	0.246107493	0.162966973	0.228572825	0.080473411	0.084354523	0.08990646
ENSG00000004864.9	6.067957124	6.276696867	5.655927834	6.175764965	6.053470794	5.471871346	8.831169978	8.862088106	8.346264995
ENSG00000004866.14	2.25968389	2.219119514	1.91784728	1.555572571	1.568652289	1.515990758	2.036366686	2.129004281	1.900300488
ENSG00000004897.7	7.739107177	8.056677825	6.851445362	8.680427715	7.581467338	6.466251835	4.197142543	3.65620873	7.96122281
ENSG00000004961.10	16.55891982	18.06820894	17.07244592	14.47611338	14.82943617	14.12785626	21.6306747	21.6922663	17.70951798
ENSG00000004975.7	15.22334744	15.26801726	18.1054384	9.425891419	9.731327179	11.29131022	11.6919677	12.73344574	8.966471353
ENSG00000005001.5	0	0	0	0.045926776	0.051319747	0	0.105121507	0.047224868	0.04118159
ENSG00000005007.8	31.40435334	30.30889275	35.65747409	19.46095529	20.56389625	22.39644144	28.57711059	30.43158618	23.16918849
ENSG00000005020.8	4.953080593	4.69945113	3.639252506	8.923761255	8.928610215	7.725624516	6.091296202	5.391232034	7.277557794
ENSG00000005022.5	152.325217	165.91496	172.8490941	102.3187344	115.6130007	98.70717588	134.0895605	150.1256631	87.64031622
ENSG00000005059.11	7.082240782	7.426529775	7.067003367	2.742220959	2.99536834	2.24857417	1.219060851	1.140564189	0.874886937
ENSG00000005073.5	0.280068606	0.209199264	0.155148406	0.095038765	0.159298097	0.106939402	0.139843045	0.179162457	0.15623537
ENSG00000005075.11	50.01955128	57.48494589	62.08849318	34.98498455	38.45641512	47.40744046	51.04949532	62.9248789	33.17555183
ENSG00000005100.8	8.107751185	7.575225768	7.055533629	4.574023804	4.269706236	4.17144058	5.01801238	4.760897251	4.977520737
ENSG00000005102.8	0.037686987	0.104000705	0.09916717	0.040497678	0	0.026039284	0.11917913	0.138807734	0.145253719
ENSG00000005108.11	0.006226536	0.02209204	0.028672201	0.09367274	0.041121261	0.041945823	0.032817389	0.03096011	0.047996804
ENSG00000005156.7	5.930454524	6.198734139	6.141017283	2.864853607	2.829596881	2.664698877	2.327408029	2.485256456	2.035996466
ENSG00000005175.5	2.86860767	3.284375254	3.011279502	4.689408257	4.030818423	3.869162693	2.316132136	1.641037099	4.675373092
ENSG00000005187.7	0.013348862	0.023681192	0.008781339	0.035861045	0.008014409	0.027669614	0.00703561	0.014749854	0.012862343
ENSG00000005189.15	1.306977267	1.74140195	1.186271093	0.57778067	0.456905122	0.325779253	0.191832047	0.237644513	0.119557838
ENSG00000005194.10	14.30412883	16.39000817	17.8632178	12.26758428	13.75465748	13.20777581	24.03723541	24.86455936	15.74376043
ENSG00000005206.12	8.223602318	7.713846974	9.218042205	5.973673895	6.335623831	7.137242703	8.552425684	9.229659946	8.353322152
ENSG00000005238.15	7.651267968	7.599418685	8.712228156	13.27363382	14.54558898	15.05672354	22.24951072	23.51604651	17.62833342
ENSG00000005243.5	16.88343709	19.14028854	21.68008928	13.17663336	14.72390495	15.37996865	14.76942947	17.5364746	9.579903513
ENSG00000005249.8	2.149999865	2.011859342	1.761453609	5.602378926	4.293276769	3.991292216	1.776548602	1.45323468	1.889517766
ENSG00000005302.13	3.854108651	3.827389769	3.313887177	4.180937329	4.13741687	3.652498817	4.08474917	4.021373765	4.283804834
ENSG00000005339.8	8.952926364	7.689784116	7.904189906	5.265035941	4.842667069	5.316565003	5.026779593	4.807876884	5.347332478
ENSG00000005379.11	0.746929911	0.872780175	0.876579295	0.67742466	0.584769475	0.678129812	0.324387866	0.250897845	0.207275602
ENSG00000005381.6	0	0	0	0	0	0.019461166	0.04948431	0.051870864	0.018093218
ENSG00000005436.9	1.207174317	1.398266444	1.252582071	1.263772108	1.217904148	0.999605958	0.629690331	0.57755193	0.815423104
ENSG00000005448.12	13.55492883	15.22961499	18.11538017	23.68867802	26.52744044	28.14604453	31.66017207	35.67021449	19.21327063
ENSG00000005469.7	2.110448587	2.269816216	1.82414282	4.506333954	4.354798517	3.263218114	2.59902845	2.497973274	3.553742075
ENSG00000005471.11	0.004537794	0.005366768	0	0.034133552	0	0.014108956	0.023916756	0.03008427	0.004372407
ENSG00000005483.15	3.45701084	2.946542273	2.599017451	6.083140164	5.359191724	5.015237561	3.605233629	2.251990379	6.0334696
ENSG00000005486.12	14.29348088	15.14168589	17.13755091	22.32065795	24.59037926	28.06827902	60.95802838	65.72975533	42.79418935
ENSG00000005513.9	0.099747501	0.045372923	0.111044706	0.535933288	0.47909238	0.469180079	0.469109469	0.449343059	0.598852046
ENSG00000005700.10	2.074215969	2.061189596	1.913364341	8.676831121	7.12080025	6.101662317	3.855073955	2.619325174	10.11330823
ENSG00000005801.12	0.685489197	0.817765607	0.690131658	1.633359038	1.445810559	1.217020465	1.124717209	0.816710157	1.947055451
ENSG00000005810.13	2.075397158	1.566563685	1.692201955	3.48623209	2.612436827	2.610761234	2.302373979	1.374043331	4.632528888
ENSG00000005812.6	5.140050775	5.274848568	4.415412395	8.760434687	8.024454665	6.80483033	4.955763711	3.756717461	8.038473336
ENSG00000005844.13	0	0	0.006912998	0	0	0	0	0	0.020251433
ENSG00000005882.7	3.462045892	3.39740788	3.836568726	4.246946191	4.589195739	4.822683545	6.455104962	6.992658026	4.513582866
ENSG00000005884.13	42.50604655	42.85684999	47.55263436	74.66923409	76.78447782	78.83734961	104.3247522	125.5945759	105.3873402
ENSG00000005889.11	2.009441644	1.895884245	1.668439815	2.672848268	2.19145788	2.351691415	1.376420557	1.16006371	2.893429331
ENSG00000005893.11	20.74761135	19.28944216	16.34473407	27.75323132	27.07203607	22.58212082	23.77211437	24.30985784	27.58666244
ENSG00000005955.8	4.068583191	4.022269239	3.573203427	5.972085946	5.804564592	5.325206278	4.078733926	3.275137735	6.308176622
ENSG00000005961.13	0.055135295	0.028981127	0.080599751	0.072413341	0.073560461	0.069840729	0.012915307	0.033845482	0.02361147
ENSG00000005981.8	0	0.008733672	0	0	0	0	0	0	0
ENSG00000006007.7	16.10131549	16.52680113	13.85224366	22.46214931	23.45237222	21.63218858	34.92021148	36.28072988	28.69695948
ENSG00000006015.13	9.636778886	11.28983868	12.91777946	10.06271572	12.49235842	11.9851099	11.84953335	12.98966481	8.021550432
ENSG00000006016.6	14.40025034	16.07143193	19.40552236	38.0922487	42.51112683	46.12805726	39.96794241	43.58878819	27.7508241
ENSG00000006025.7	0.936568277	0.868995026	0.919054234	1.201028532	1.105956688	1.233438742	0.883615687	1.034863192	0.852575456
ENSG00000006042.7	20.42209192	21.14440121	23.94463053	24.39682842	26.47441003	26.70321831	20.35237092	22.46401799	14.56724168
ENSG00000006047.8	0.007363843	0.008709086	0.009688376	0.007913037	0.008842229	0	0	0.008136694	0.028381826
ENSG00000006062.9	3.028223853	3.24444334	3.67028995	1.609232962	1.702718275	1.847365957	1.473810904	1.464351269	1.487659514
ENSG00000006075.11	0	0	0	0	0	0	0.023993597	0	0
ENSG00000006114.11	3.644289711	3.484650618	3.143177449	4.468938809	4.258664327	3.912727574	5.345454777	5.071619642	5.262612171
ENSG00000006118.10	17.15043694	17.1195762	20.42292931	15.97693659	15.64597525	17.93957889	45.66217455	42.2004567	36.28640071
ENSG00000006125.12	47.46129795	46.51157395	42.85878466	47.75774123	47.06552192	43.4348137	50.82497463	52.97257756	49.6986522
ENSG00000006194.6	4.038899911	4.328377398	4.359470233	3.721222519	3.335304964	4.227487162	5.414044958	5.554322508	4.573094351
ENSG00000006210.6	0.028419041	0.006722139	0.007478008	0.042753942	0.047774341	0.011781438	0.305560443	0.219811779	0.246449409
ENSG00000006282.15	10.68822729	11.45042405	13.48122482	10.00607389	11.96854832	12.17428031	10.00031315	12.05392897	7.864787166
ENSG00000006283.13	0.01050764	0.028996798	0.013824572	0.022582597	0.025234367	0.018150258	0.092302075	0.104493959	0.067497823
ENSG00000006327.9	263.1434075	295.0013856	359.5252635	204.898486	237.4436398	263.5684242	422.5922131	468.5723585	250.8221911
ENSG00000006377.9	0	0	0.012972143	0	0	0.010218664	0	0	0
ENSG00000006432.11	0.40633952	0.373416295	0.41901719	0.831984357	0.913196766	1.02437443	1.366019443	1.346957257	1.219562664
ENSG00000006451.3	13.81589877	14.13410733	12.90345272	16.57120801	15.79857526	13.90534018	19.4734652	19.09007426	25.71278825
ENSG00000006453.9	1.842771674	2.087207392	1.837007413	1.789801002	1.965927093	1.645413585	1.837895529	2.216297783	1.50926778
ENSG00000006459.6	0.57698791	0.571504437	0.403285084	2.615707685	2.221372259	1.730440226	1.02255469	0.693329175	2.338501442
ENSG00000006468.9	1.176139311	1.062972432	0.974637051	7.292635673	6.534357705	6.156632037	4.626062608	4.166407427	6.282054642
ENSG00000006530.11	4.217665293	4.699434437	3.560412432	3.326603553	3.268169838	2.745460117	3.055187129	3.523935496	2.847765315
ENSG00000006534.11	9.666170577	9.573243952	11.41329357	9.597831526	9.861444785	11.50851812	10.23797109	10.19826773	7.215529502
ENSG00000006555.6	0	0.006642206	0.007389087	0	0	0	0	0	0
ENSG00000006576.12	2.139425346	2.446384337	2.275665	5.144134196	4.716824452	3.99768784	2.338262346	1.998266874	5.3681243
ENSG00000006606.4	0.096334915	0.398767577	0	0	0	0	0.050773986	0.053222739	0.092823847
ENSG00000006607.9	4.114816926	4.107522245	3.281145786	3.321345364	3.099406981	3.186231545	3.850015939	3.605534982	3.857995585
ENSG00000006611.11	0	0	0.010685675	0	0	0	0	0	0
ENSG00000006625.13	8.854114218	9.964913184	9.746709971	8.900617315	9.002642034	7.52985708	6.02144822	5.562321001	6.278156754
ENSG00000006634.3	2.114722696	2.158796726	1.854849469	1.012630472	1.095899997	0.707498094	0.297221141	0.245965003	0.393230416
ENSG00000006638.7	1.716748199	1.972768534	2.402842195	1.282189654	1.593570325	1.438537606	1.38611345	2.448512764	1.243567032
ENSG00000006652.9	6.097088939	6.757909306	5.557235295	4.550180674	4.177218363	3.980671721	3.816392442	3.46126005	5.510851992
ENSG00000006695.6	4.38478752	4.818112306	4.344326569	3.306327325	3.321254829	3.666638255	4.339543074	4.134225566	3.429566084
ENSG00000006704.6	6.473638087	6.554548086	7.573871013	4.313330985	4.543329784	4.870616477	5.428268851	5.771022324	4.366892044
ENSG00000006712.10	38.1869003	39.54020951	42.19196362	27.5711625	31.22194927	32.08699108	34.30132903	41.61726923	28.56657383
ENSG00000006715.11	4.398446481	3.944006827	3.659108836	8.12730072	7.338603223	6.885286134	5.651982277	4.652954102	8.921512845
ENSG00000006740.12	0.454344564	0.498344384	0.424221647	0.326798796	0.299178108	0.318986143	0.247190149	0.291500728	0.130629487
ENSG00000006744.14	20.24294905	20.88576049	24.22849596	10.22265865	11.08841119	11.20925733	15.58147593	17.93781609	12.45603866
ENSG00000006747.10	0.006736574	0	0.008863099	0	0.016178056	0.006981809	0.056808929	0.052105146	0.019473149
ENSG00000006756.11	1.605983882	1.722017939	1.699264024	2.713390538	2.369848098	2.682166667	2.437353545	2.683183114	2.45634611
ENSG00000006757.7	3.755409907	4.464832709	4.147734384	2.824841548	2.954815347	2.775696145	3.271078249	3.123081233	2.094943327
ENSG00000006788.8	0	0	0	0	0.019300494	0.01665866	0	0	0
ENSG00000006831.9	14.12779881	13.54074979	12.11003851	5.551610716	5.571350203	5.192489347	7.769369996	8.105719893	7.358319144
ENSG00000006837.7	0.147812985	0.185741781	0.109391007	0.188618771	0.166395322	0.181917755	0.292146976	0.153118393	0.106819293
ENSG00000007001.8	0.02300049	0.013601136	0	0	0	0.023837789	0	0.025414443	0.011081102
ENSG00000007038.6	0.034280469	0.020271451	0.045101736	0.036837102	0.020581357	0	0.018067759	0.07575656	0
ENSG00000007047.10	12.16839424	13.01011258	14.31199549	14.38021462	15.41357202	18.46249108	21.2078857	22.72096917	15.73966984
ENSG00000007080.6	91.14078005	96.40340018	123.3070582	43.52068371	52.14869495	58.30150272	67.28764346	74.4261649	42.7350369
ENSG00000007168.8	13.19326041	12.89646407	11.48939382	17.64395198	16.50519979	15.24775519	15.57006421	14.0369718	22.07032883
ENSG00000007171.12	0.016286506	0.009630881	0.021427644	0.008750576	0	0	0	0	0
ENSG00000007202.10	26.78887782	25.43328443	27.62939646	20.43763103	20.87876252	21.29534121	31.63103304	32.12714696	27.85977866
ENSG00000007216.10	0	0	0	0.022654932	0	0	0	0	0
ENSG00000007237.14	1.65654086	1.369820211	1.483981065	1.519585164	1.330118077	1.779656177	1.437406509	1.264909526	1.158193472
ENSG00000007255.6	3.972860152	4.439990918	5.131059613	10.8491385	11.11649161	14.54341476	12.48669992	12.64590527	7.023969588
ENSG00000007264.9	0	0	0.010812209	0	0.00986791	0	0.017325488	0.027241605	0
ENSG00000007312.8	0.04904744	0.135350918	0.043020117	0.035136928	0	0.016944313	0.034467725	0.018065026	0.031506556
ENSG00000007314.7	0.016493864	0.0097535	0	0.004430994	0.004951305	0	0	0.013668699	0
ENSG00000007341.14	1.094270092	1.185086362	1.246633991	1.153354175	1.072311278	1.177557691	1.241874977	1.21374879	1.333134013
ENSG00000007350.12	0	0	0	0	0	0	0	0.01029459	0
ENSG00000007372.16	0.02531595	0.021775072	0.027251509	0.02720401	0.035925444	0.014311385	0.009703962	0.007628977	0.044351405
ENSG00000007376.3	18.65491359	21.04611458	25.22231085	11.23062	12.10698134	13.69545987	19.50905596	22.39045446	13.57296511
ENSG00000007384.11	14.83108479	13.75815109	16.46227486	16.42403554	16.93658569	19.57625897	30.08038334	32.81208957	26.70649753
ENSG00000007392.12	6.926786109	7.371665841	7.157388377	5.62691504	5.606660209	5.449835433	6.848897676	7.106200805	7.533821526
ENSG00000007402.7	0.08072375	0.044552921	0.049562661	0.069395294	0.051696043	0.055774919	0.045382414	0.047571139	0.025927218
ENSG00000007516.9	0.199287661	0.268429253	0.211213858	0.362866143	0.392181558	0.424559446	0.933652845	1.192768101	0.704089206
ENSG00000007520.3	77.5330986	88.17021073	110.8624608	56.03364778	60.41242544	67.70963891	85.96799643	92.32085632	57.65167437
ENSG00000007541.10	8.48051585	8.876304367	10.74720058	4.724072756	5.373912436	5.967239958	8.224483896	9.277570251	6.148846785
ENSG00000007545.11	2.029800778	1.985394605	1.852922946	2.137819596	1.821925115	2.020046845	1.995013352	1.975298129	2.09191268
ENSG00000007866.14	30.76860014	29.52353803	36.9119948	17.40742937	18.94209169	22.22720064	28.750111	32.41883335	22.63341607
ENSG00000007923.11	18.27495983	17.4642468	19.53231999	7.050050185	7.671635805	8.038985265	8.587265017	9.15472469	6.945521387
ENSG00000007933.8	0.019639749	0	0	0.010552239	0	0	0	0	0
ENSG00000007944.10	0.089696604	0.079561936	0.073756877	1.602420008	1.400156563	1.684934008	3.143801987	2.713148873	2.722465601
ENSG00000007952.13	0.080679063	0.079514746	0.053073454	0.028898699	0.096876423	0.055744043	0.08504492	0.014857752	0.064782163
ENSG00000007968.6	1.483137538	1.540347944	2.025106772	0.147321406	0.149655166	0.135629027	0.01313778	0.020657094	0.012009096
ENSG00000008018.8	57.53624145	66.06825258	66.33793573	45.67800642	51.42186336	46.78913705	60.72919792	66.48954444	44.06672261
ENSG00000008056.8	0.775040407	0.96685264	0.880011884	0.912704468	1.070873124	1.221387143	0.951279077	1.055814181	0.68541268
ENSG00000008083.9	3.578775293	3.31539735	2.87472486	5.641832041	5.530442099	5.506562364	6.788176781	6.015514401	7.482345835
ENSG00000008086.6	1.02703364	0.776029233	0.800732379	0.541596049	0.491005794	0.473076125	0.1704109	0.189137182	0.558941808
ENSG00000008118.5	0.826010696	1.067084325	0.819247071	1.952751844	1.937908571	1.909717805	2.504963806	3.15935428	2.093843759
ENSG00000008128.18	0.093919891	0.13671063	0.066536319	0.124214676	0.104100477	0.074876081	0.068540027	0.103776991	0.201877571
ENSG00000008130.11	16.58987381	15.66790039	18.69959402	11.82425882	12.2710307	13.07354307	23.51607463	25.63009579	18.65331193
ENSG00000008226.15	0.012235389	0.014470578	0.010731811	0.013147903	0.004897267	0.008453867	0.012897494	0.004506507	0.007859635
ENSG00000008256.11	20.62048439	19.24671069	19.19119638	8.592658573	8.806792753	9.483444555	9.571399242	10.97158567	9.691753097
ENSG00000008277.10	0.016701101	0.009876048	0.014648742	0.023928889	0.026738749	0.040387853	0.011736575	0.012302612	0.02145654
ENSG00000008282.3	18.41496721	17.63340522	15.66092391	23.72509768	23.54424727	22.31458093	21.70800509	21.61182265	23.76004779
ENSG00000008283.11	2.863682103	2.60059852	3.498538236	3.084124043	3.292769508	3.663538863	8.71903863	9.542136762	6.676547152
ENSG00000008294.16	6.517764913	5.698863371	4.883006517	9.643304603	7.853630814	7.483634307	5.502373606	4.406003536	10.08948141
ENSG00000008300.10	0.41381423	0.364886115	0.325376807	1.915529302	1.640628164	2.088562285	4.186557881	3.809472712	3.900025228
ENSG00000008311.10	0.437021841	0.446775536	0.272869921	0.668604233	0.391346141	0.583436511	0.187391508	0.155506386	0.321173343
ENSG00000008323.11	0.16763632	0.141614643	0.16804102	0.240184823	0.258803316	0.256471669	0.14304915	0.079384339	0.138451344
ENSG00000008324.6	4.757212102	5.657183864	4.917718524	5.673763134	5.963373018	5.445102567	6.309633644	5.74748306	5.263847032
ENSG00000008382.11	5.526633926	5.437062326	7.05286369	5.903141094	6.65610524	7.499491804	6.735420725	7.445365032	4.285752688
ENSG00000008394.8	14.7343888	15.14750151	13.80465908	10.44572856	11.35685435	9.30881783	6.698488621	6.574006218	5.854042833
ENSG00000008405.7	5.112354248	5.100812833	3.694528894	2.916462204	2.653929786	2.750187215	3.689449246	2.776204037	4.621791415
ENSG00000008438.4	0.141692604	0	0.062140169	0	0	0	0	0	0.04550947
ENSG00000008441.12	44.77684145	46.12179028	53.21060107	26.56891468	30.34968299	32.2409787	20.52836878	23.58142302	17.99003344
ENSG00000008513.10	11.60029072	10.79405299	11.32616688	9.564650142	9.205057845	9.830418926	8.902069734	8.586784751	8.306181961
ENSG00000008516.12	0.008241935	0.038990362	0	0.035426471	0	0.025625912	0.052127631	0.054641668	0.031766183
ENSG00000008517.12	2.942399083	2.957246949	3.412183835	2.212040256	2.932632195	2.904871852	22.04236943	27.15338947	13.10000355
ENSG00000008710.13	15.7277873	13.04954632	15.07941921	16.64047901	14.75837439	17.86551617	19.48032787	19.92713102	20.59507325
ENSG00000008735.10	0.077957614	0.111956033	0.168501916	0.580418094	0.755555193	0.784871017	1.561347868	1.692024682	1.105283205
ENSG00000008838.13	16.9640361	16.65471189	20.44895328	14.78072578	15.90051424	17.38921697	23.81867328	26.60815859	18.22836636
ENSG00000008853.12	5.338667233	5.494906398	5.670809829	2.354708173	2.420217434	2.651347236	3.611882325	3.603341186	3.022714074
ENSG00000008869.7	2.262661325	1.950644198	2.011869376	3.420005745	3.08017086	2.692919258	3.337396482	2.445184671	5.77791687
ENSG00000008952.12	6.601359766	7.482640489	6.834164499	17.58902851	14.96744394	14.71470827	8.993258968	7.20887496	18.80124315
ENSG00000008988.5	180.7052043	232.3373022	183.5431055	218.3442993	250.8795922	238.7969972	210.9325985	243.6814807	129.4127215
ENSG00000009307.11	73.65553332	62.1623072	58.99893216	85.51748261	78.13336818	64.71944444	41.61425285	34.97665219	74.22210966
ENSG00000009335.13	19.81052594	19.10141562	17.37120402	14.67166863	13.99800197	13.98984844	16.63215426	16.18287662	17.88702851
ENSG00000009413.11	0.62441969	0.680188233	0.435987076	1.665700355	1.25621031	1.217665258	0.609132444	0.453917052	1.852485007
ENSG00000009694.9	0.002636959	0	0	0.00850087	0.006332725	0.013664769	0.022237242	0.014568569	0.066062133
ENSG00000009724.12	0.111994154	0.104070605	0.084198394	0.171923807	0.12487282	0.116071136	0.067459767	0.026517469	0.277488933
ENSG00000009780.11	1.256055409	1.345935895	1.086913814	0.996446347	1.35638999	1.048413625	1.537291292	1.304049455	1.486447129
ENSG00000009790.10	0.210537701	0.197124368	0.178894437	0.15553971	0.163270447	0.122738634	0.194189375	0.135703225	0.181732643
