gene ID	GeneName	HC1.coch	HC2.vest	Non.HC1.coch	Non.HC2.vest
ENSG00000204220	PFDN6	26.0	2.0	31.0	30.0
ENSG00000152128	TMEM163	8.0	0.0	31.0	17.0
ENSG00000196660	SLC30A10	31.0	25.0	4.0	6.0
ENSG00000121680	PEX16	7.0	0.0	6.0	31.0
ENSG00000137101	CD72	3.0	1.0	0.0	31.0
ENSG00000152760	TCTEX1D1	11.0	31.0	1.0	5.0
ENSG00000117305	HMGCL	9.0	0.0	7.0	31.0
ENSG00000132773	TOE1	16.0	15.0	31.0	4.0
ENSG00000115163	CENPA	0.0	5.0	17.0	31.0
ENSG00000173557	C2orf70	8.0	31.0	1.0	1.0
ENSG00000115274	INO80B	24.0	27.0	31.0	16.0
ENSG00000004700	RECQL	25.0	30.0	16.0	31.0
ENSG00000213023	SYT3	8.0	0.0	8.0	31.0
ENSG00000105298	CACTIN	12.0	6.0	11.0	31.0
ENSG00000070601	FRMPD1	31.0	4.0	7.0	16.0
ENSG00000118369	USP35	11.0	9.0	18.0	31.0
ENSG00000136002	ARHGEF4	15.0	3.0	20.0	31.0
ENSG00000187778	MCRS1	15.0	2.0	25.0	31.0
ENSG00000101442	ACTR5	31.0	3.0	13.0	19.0
ENSG00000112699	GMDS	12.0	16.0	31.0	25.0
ENSG00000137960	GIPC2	31.0	5.0	2.0	2.0
ENSG00000143147	GPR161	9.0	4.0	14.0	31.0
ENSG00000179403	VWA1	2.0	5.0	0.0	31.0
ENSG00000189056	RELN	31.0	3.0	10.0	4.0
ENSG00000157060	SHCBP1L	30.0	31.0	5.0	4.0
ENSG00000157064	NMNAT2	2.0	31.0	4.0	26.0
ENSG00000037042	TUBG2	14.0	2.0	6.0	31.0
ENSG00000277481	PKD1L3	31.0	9.0	12.0	8.0
ENSG00000179918	SEPHS2	21.0	12.0	25.0	31.0
ENSG00000108551	RASD1	12.0	1.0	31.0	8.0
ENSG00000187546	AGMO	0.0	3.0	14.0	31.0
ENSG00000166813	KIF7	16.0	5.0	23.0	31.0
ENSG00000171813	PWWP2B	2.0	10.0	18.0	31.0
ENSG00000136942	RPL35	21.0	31.0	3.0	7.0
ENSG00000138356	AOX1	4.0	1.0	19.0	31.0
ENSG00000199477	SNORA31	16.0	19.0	16.0	31.0
ENSG00000284844	ENSG00000284844	31.0	18.0	0.0	0.0
ENSG00000160211	G6PD	15.0	2.0	31.0	24.0
ENSG00000086205	FOLH1	0.0	0.0	32.0	5.0
ENSG00000105173	CCNE1	14.0	3.0	8.0	32.0
ENSG00000160963	COL26A1	22.0	6.0	32.0	23.0
ENSG00000214706	IFRD2	16.0	6.0	32.0	31.0
ENSG00000158796	DEDD	32.0	21.0	21.0	27.0
ENSG00000184371	CSF1	7.0	0.0	4.0	32.0
ENSG00000196155	PLEKHG4	0.0	0.0	32.0	32.0
ENSG00000108439	PNPO	32.0	21.0	18.0	17.0
ENSG00000119559	C19orf25	11.0	4.0	24.0	32.0
ENSG00000172548	NIPAL4	1.0	20.0	0.0	32.0
ENSG00000176974	SHMT1	15.0	16.0	32.0	26.0
ENSG00000100479	POLE2	10.0	5.0	12.0	32.0
ENSG00000119720	NRDE2	19.0	26.0	29.0	32.0
ENSG00000171320	ESCO2	0.0	0.0	3.0	32.0
ENSG00000069206	ADAM7	27.0	32.0	1.0	0.0
ENSG00000104356	POP1	16.0	30.0	32.0	17.0
ENSG00000100416	TRMU	21.0	18.0	12.0	32.0
ENSG00000079337	RAPGEF3	3.0	0.0	11.0	32.0
ENSG00000100413	POLR3H	24.0	6.0	20.0	32.0
ENSG00000073282	TP63	0.0	13.0	32.0	4.0
ENSG00000104804	TULP2	16.0	5.0	21.0	32.0
ENSG00000142082	SIRT3	13.0	5.0	11.0	32.0
ENSG00000143786	CNIH3	32.0	17.0	26.0	1.0
ENSG00000110442	COMMD9	15.0	12.0	13.0	32.0
ENSG00000128944	KNSTRN	11.0	6.0	5.0	32.0
ENSG00000114450	GNB4	9.0	8.0	10.0	32.0
ENSG00000137054	POLR1E	31.0	15.0	12.0	32.0
ENSG00000173662	TAS1R1	32.0	9.0	1.0	7.0
ENSG00000153790	C7orf31	18.0	3.0	23.0	32.0
ENSG00000186895	FGF3	15.0	2.0	3.0	32.0
ENSG00000102007	PLP2	11.0	4.0	19.0	32.0
ENSG00000102312	PORCN	11.0	20.0	16.0	32.0
ENSG00000198753	PLXNB3	15.0	16.0	5.0	32.0
ENSG00000102032	RENBP	0.0	0.0	9.0	32.0
ENSG00000157350	ST3GAL2	32.0	12.0	32.0	31.0
ENSG00000203907	OOEP	9.0	0.0	32.0	12.0
ENSG00000176020	AMIGO3	2.0	0.0	15.0	32.0
ENSG00000160959	LRRC14	31.0	14.0	19.0	32.0
ENSG00000102468	HTR2A	32.0	2.0	0.0	6.0
ENSG00000088899	LZTS3	11.0	32.0	23.0	19.0
ENSG00000127084	FGD3	7.0	29.0	11.0	32.0
ENSG00000160051	IQCC	32.0	16.0	17.0	20.0
ENSG00000106633	GCK	8.0	32.0	7.0	15.0
ENSG00000103047	TANGO6	32.0	16.0	13.0	27.0
ENSG00000163462	TRIM46	32.0	8.0	6.0	16.0
ENSG00000168703	WFDC12	13.0	0.0	0.0	32.0
ENSG00000040608	RTN4R	32.0	0.0	0.0	1.0
ENSG00000248235	AC037459.4	6.0	0.0	32.0	12.0
ENSG00000115998	C2orf42	19.0	20.0	26.0	32.0
ENSG00000105202	FBL	19.0	32.0	9.0	27.0
ENSG00000232113	RP11-360D2.1	32.0	12.0	3.0	5.0
ENSG00000137310	TCF19	0.0	0.0	0.0	32.0
ENSG00000174807	CD248	32.0	4.0	1.0	7.0
ENSG00000173457	PPP1R14B	3.0	0.0	30.0	32.0
ENSG00000183569	SERHL2	32.0	0.0	8.0	10.0
ENSG00000177570	SAMD12	2.0	5.0	32.0	32.0
ENSG00000248098	BCKDHA	14.0	6.0	4.0	32.0
ENSG00000121903	ZSCAN20	32.0	8.0	31.0	18.0
ENSG00000131398	KCNC3	32.0	28.0	10.0	21.0
ENSG00000007129	CEACAM21	24.0	0.0	4.0	32.0
ENSG00000100147	CCDC134	8.0	9.0	13.0	32.0
ENSG00000174744	BRMS1	32.0	18.0	2.0	28.0
ENSG00000252481	SCARNA13	7.0	0.0	32.0	0.0
ENSG00000133983	COX16	32.0	15.0	11.0	9.0
ENSG00000067533	RRP15	33.0	22.0	23.0	13.0
ENSG00000243207	PPAN-P2RY11	20.0	8.0	12.0	33.0
ENSG00000278023	RDM1	0.0	3.0	19.0	33.0
ENSG00000226784	PGAM4	17.0	26.0	24.0	33.0
ENSG00000141098	GFOD2	33.0	16.0	29.0	23.0
ENSG00000142549	IGLON5	17.0	16.0	33.0	32.0
ENSG00000164171	ITGA2	4.0	8.0	19.0	33.0
ENSG00000166582	CENPV	33.0	10.0	5.0	25.0
ENSG00000072778	ACADVL	7.0	0.0	17.0	33.0
ENSG00000177427	MIEF2	7.0	5.0	7.0	33.0
ENSG00000013563	DNASE1L1	3.0	0.0	33.0	29.0
ENSG00000133943	C14orf159	4.0	33.0	15.0	25.0
ENSG00000130363	RSPH3	2.0	33.0	0.0	21.0
ENSG00000107968	MAP3K8	5.0	15.0	11.0	33.0
ENSG00000163817	SLC6A20	33.0	19.0	8.0	4.0
ENSG00000136003	ISCU	6.0	6.0	13.0	33.0
ENSG00000132330	SCLY	29.0	33.0	16.0	21.0
ENSG00000136856	SLC2A8	9.0	7.0	0.0	33.0
ENSG00000162989	KCNJ3	0.0	33.0	0.0	18.0
ENSG00000092607	TBX15	19.0	6.0	6.0	33.0
ENSG00000106853	PTGR1	15.0	9.0	33.0	15.0
ENSG00000103490	PYCARD	13.0	6.0	18.0	33.0
ENSG00000188690	UROS	33.0	22.0	29.0	21.0
ENSG00000121281	ADCY7	33.0	26.0	3.0	15.0
ENSG00000137700	SLC37A4	33.0	23.0	15.0	22.0
ENSG00000275464	CH507-9B2.5	22.0	3.0	11.0	33.0
ENSG00000168970	JMJD7-PLA2G4B	24.0	17.0	15.0	33.0
ENSG00000185274	WBSCR17	6.0	33.0	0.0	12.0
ENSG00000090889	KIF4A	1.0	0.0	17.0	33.0
ENSG00000130023	ERMARD	20.0	26.0	25.0	33.0
ENSG00000008323	PLEKHG6	2.0	0.0	7.0	33.0
ENSG00000129167	TPH1	33.0	1.0	0.0	3.0
ENSG00000104892	KLC3	6.0	9.0	17.0	33.0
ENSG00000198771	RCSD1	3.0	0.0	33.0	5.0
ENSG00000141219	C17orf80	20.0	19.0	17.0	33.0
ENSG00000198837	DENND4B	17.0	33.0	13.0	31.0
ENSG00000149798	CDC42EP2	33.0	16.0	22.0	30.0
ENSG00000181817	LSM10	2.0	11.0	32.0	33.0
ENSG00000170214	ADRA1B	0.0	0.0	18.0	33.0
ENSG00000187051	RPS19BP1	22.0	10.0	16.0	33.0
ENSG00000203950	FAM127B	22.0	12.0	4.0	33.0
ENSG00000105613	MAST1	33.0	24.0	3.0	22.0
ENSG00000185101	ANO9	5.0	0.0	11.0	33.0
ENSG00000125449	ARMC7	13.0	4.0	16.0	33.0
ENSG00000178297	TMPRSS9	0.0	6.0	2.0	33.0
ENSG00000119943	PYROXD2	33.0	9.0	4.0	27.0
ENSG00000185674	LYG2	6.0	33.0	0.0	0.0
ENSG00000159251	ACTC1	4.0	33.0	2.0	0.0
ENSG00000269547	CTC-360G5.8	33.0	11.0	0.0	28.0
ENSG00000278615	C11orf98	15.0	7.0	20.0	33.0
ENSG00000228672	PROB1	3.0	6.0	1.0	33.0
ENSG00000269755	CTD-3105H18.18	11.0	4.0	33.0	15.0
ENSG00000110719	TCIRG1	12.0	6.0	14.0	34.0
ENSG00000272949	RP11-514P8.8	0.0	0.0	5.0	34.0
ENSG00000108788	MLX	27.0	25.0	34.0	33.0
ENSG00000105711	SCN1B	34.0	0.0	5.0	0.0
ENSG00000227877	LINC00948	34.0	13.0	3.0	3.0
ENSG00000164398	ACSL6	34.0	24.0	21.0	12.0
ENSG00000037280	FLT4	34.0	34.0	1.0	1.0
ENSG00000273611	ZNHIT3	18.0	15.0	18.0	34.0
ENSG00000078401	EDN1	34.0	6.0	18.0	20.0
ENSG00000145014	TMEM44	19.0	7.0	34.0	25.0
ENSG00000137200	CMTR1	21.0	34.0	12.0	21.0
ENSG00000241370	RPP21	15.0	19.0	11.0	34.0
ENSG00000149503	INCENP	8.0	0.0	34.0	24.0
ENSG00000174791	RIN1	34.0	10.0	3.0	7.0
ENSG00000176108	CHMP6	4.0	1.0	17.0	34.0
ENSG00000197696	NMB	34.0	7.0	17.0	25.0
ENSG00000162944	RFTN2	2.0	1.0	0.0	34.0
ENSG00000120539	MASTL	20.0	24.0	32.0	34.0
ENSG00000165124	SVEP1	0.0	2.0	5.0	34.0
ENSG00000082014	SMARCD3	0.0	0.0	19.0	34.0
ENSG00000150977	RILPL2	13.0	5.0	30.0	34.0
ENSG00000176476	CCDC101	9.0	4.0	5.0	34.0
ENSG00000140688	C16orf58	11.0	4.0	15.0	34.0
ENSG00000132109	TRIM21	13.0	6.0	21.0	34.0
ENSG00000103248	MTHFSD	11.0	15.0	10.0	34.0
ENSG00000010072	SPRTN	11.0	5.0	10.0	34.0
ENSG00000178761	FAM219B	31.0	17.0	34.0	12.0
ENSG00000138622	HCN4	3.0	34.0	4.0	10.0
ENSG00000135318	NT5E	2.0	0.0	34.0	30.0
ENSG00000089060	SLC8B1	6.0	0.0	16.0	34.0
ENSG00000117543	DPH5	28.0	7.0	34.0	26.0
ENSG00000144554	FANCD2	11.0	34.0	26.0	18.0
ENSG00000129347	KRI1	34.0	10.0	25.0	22.0
ENSG00000162139	NEU3	31.0	2.0	34.0	7.0
ENSG00000173083	HPSE	4.0	9.0	1.0	34.0
ENSG00000132823	OSER1	15.0	13.0	25.0	34.0
ENSG00000148735	PLEKHS1	4.0	24.0	16.0	34.0
ENSG00000164967	RPP25L	7.0	12.0	34.0	23.0
ENSG00000090339	ICAM1	0.0	0.0	2.0	34.0
ENSG00000167995	BEST1	6.0	22.0	2.0	34.0
ENSG00000158156	XKR8	34.0	11.0	1.0	13.0
ENSG00000177679	SRRM3	34.0	33.0	1.0	0.0
ENSG00000130208	APOC1	1.0	0.0	15.0	34.0
ENSG00000160753	RUSC1	4.0	5.0	20.0	34.0
ENSG00000140057	AK7	5.0	34.0	1.0	0.0
ENSG00000170325	PRDM10	18.0	13.0	13.0	34.0
ENSG00000146285	SCML4	1.0	34.0	15.0	4.0
ENSG00000183977	PP2D1	11.0	34.0	0.0	12.0
ENSG00000177098	SCN4B	0.0	0.0	34.0	0.0
ENSG00000117877	CD3EAP	20.0	11.0	34.0	16.0
ENSG00000181544	FANCB	34.0	17.0	5.0	3.0
ENSG00000249581	CLRN2	19.0	34.0	1.0	1.0
ENSG00000140873	ADAMTS18	21.0	0.0	26.0	34.0
ENSG00000159915	ZNF233	10.0	7.0	31.0	34.0
ENSG00000116663	FBXO6	6.0	1.0	16.0	34.0
ENSG00000139547	RDH16	26.0	12.0	34.0	15.0
ENSG00000006015	C19orf60	21.0	7.0	17.0	34.0
ENSG00000184489	PTP4A3	9.0	8.0	34.0	17.0
ENSG00000246705	H2AFJ	30.0	21.0	25.0	34.0
ENSG00000092208	GEMIN2	12.0	13.0	33.0	34.0
ENSG00000203952	CCDC160	13.0	34.0	17.0	7.0
ENSG00000147883	CDKN2B	13.0	4.0	34.0	4.0
ENSG00000204335	SP5	19.0	6.0	10.0	34.0
ENSG00000160410	SHKBP1	8.0	1.0	11.0	34.0
ENSG00000125652	ALKBH7	3.0	3.0	10.0	35.0
ENSG00000198704	GPX6	0.0	1.0	1.0	35.0
ENSG00000255974	CYP2A6	0.0	35.0	1.0	1.0
ENSG00000116649	SRM	7.0	13.0	16.0	35.0
ENSG00000064787	BCAS1	2.0	0.0	24.0	35.0
ENSG00000129988	LBP	0.0	0.0	7.0	35.0
ENSG00000099800	TIMM13	7.0	12.0	4.0	35.0
ENSG00000138092	CENPO	35.0	15.0	18.0	24.0
ENSG00000076351	SLC46A1	2.0	8.0	34.0	35.0
ENSG00000002919	SNX11	31.0	20.0	35.0	23.0
ENSG00000130957	FBP2	2.0	8.0	35.0	28.0
ENSG00000120662	MTRF1	26.0	11.0	35.0	4.0
ENSG00000168078	PBK	0.0	0.0	10.0	35.0
ENSG00000165819	METTL3	35.0	30.0	27.0	35.0
ENSG00000100395	L3MBTL2	13.0	5.0	15.0	35.0
ENSG00000111325	OGFOD2	28.0	18.0	35.0	32.0
ENSG00000162076	FLYWCH2	9.0	28.0	34.0	35.0
ENSG00000170469	SPATA24	35.0	6.0	18.0	20.0
ENSG00000162300	ZFPL1	9.0	7.0	22.0	35.0
ENSG00000170485	NPAS2	0.0	7.0	3.0	35.0
ENSG00000115657	ABCB6	35.0	25.0	6.0	15.0
ENSG00000162851	TFB2M	27.0	25.0	12.0	35.0
ENSG00000143374	TARS2	35.0	7.0	12.0	27.0
ENSG00000221829	FANCG	30.0	22.0	30.0	35.0
ENSG00000090975	PITPNM2	3.0	16.0	35.0	30.0
ENSG00000105397	TYK2	6.0	14.0	4.0	35.0
ENSG00000114745	GORASP1	16.0	35.0	20.0	35.0
ENSG00000111331	OAS3	0.0	15.0	35.0	6.0
ENSG00000160972	PPP1R16A	25.0	15.0	4.0	35.0
ENSG00000005961	ITGA2B	1.0	7.0	4.0	35.0
ENSG00000104886	PLEKHJ1	25.0	1.0	6.0	35.0
ENSG00000254858	MPV17L2	8.0	3.0	13.0	35.0
ENSG00000112742	TTK	4.0	1.0	4.0	35.0
ENSG00000157734	SNX22	35.0	21.0	9.0	18.0
ENSG00000111602	TIMELESS	35.0	0.0	7.0	11.0
ENSG00000146054	TRIM7	0.0	3.0	11.0	35.0
ENSG00000204348	DXO	6.0	7.0	25.0	35.0
ENSG00000100889	PCK2	10.0	5.0	25.0	35.0
ENSG00000117154	IGSF21	16.0	35.0	0.0	0.0
ENSG00000163170	BOLA3	30.0	35.0	33.0	28.0
ENSG00000166676	TVP23A	35.0	15.0	18.0	20.0
ENSG00000104866	PPP1R37	31.0	17.0	23.0	35.0
ENSG00000159403	C1R	0.0	0.0	35.0	12.0
ENSG00000105875	WDR91	12.0	15.0	12.0	35.0
ENSG00000074800	ENO1	0.0	4.0	0.0	35.0
ENSG00000137766	UNC13C	0.0	2.0	35.0	9.0
ENSG00000182307	C8orf33	34.0	15.0	35.0	34.0
ENSG00000183605	SFXN4	35.0	35.0	16.0	6.0
ENSG00000170473	WIBG	15.0	4.0	35.0	24.0
ENSG00000074706	IPCEF1	5.0	13.0	34.0	35.0
ENSG00000177414	UBE2U	35.0	16.0	3.0	0.0
ENSG00000196378	ZNF34	6.0	0.0	35.0	7.0
ENSG00000277399	GPR179	10.0	19.0	35.0	29.0
ENSG00000104951	IL4I1	22.0	12.0	28.0	35.0
ENSG00000099617	EFNA2	33.0	2.0	36.0	27.0
ENSG00000099999	RNF215	27.0	14.0	15.0	36.0
ENSG00000166033	HTRA1	0.0	0.0	16.0	36.0
ENSG00000213145	CRIP1	1.0	0.0	20.0	36.0
ENSG00000211448	DIO2	1.0	8.0	19.0	36.0
ENSG00000151702	FLI1	1.0	36.0	14.0	5.0
ENSG00000130347	RTN4IP1	16.0	11.0	27.0	36.0
ENSG00000171224	C10orf35	36.0	25.0	21.0	30.0
ENSG00000120913	PDLIM2	0.0	3.0	36.0	21.0
ENSG00000180155	LYNX1	1.0	5.0	0.0	36.0
ENSG00000152154	TMEM178A	8.0	0.0	0.0	36.0
ENSG00000175592	FOSL1	0.0	0.0	3.0	36.0
ENSG00000002330	BAD	22.0	5.0	24.0	36.0
ENSG00000125246	CLYBL	13.0	14.0	9.0	36.0
ENSG00000158715	SLC45A3	1.0	0.0	3.0	36.0
ENSG00000158773	USF1	14.0	3.0	36.0	22.0
ENSG00000092470	WDR76	10.0	36.0	20.0	21.0
ENSG00000160818	GPATCH4	36.0	5.0	31.0	9.0
ENSG00000137038	TMEM261	36.0	32.0	35.0	32.0
ENSG00000157992	KRTCAP3	18.0	3.0	19.0	36.0
ENSG00000138772	ANXA3	0.0	2.0	2.0	36.0
ENSG00000197782	ZNF780A	17.0	11.0	12.0	36.0
ENSG00000174498	IGDCC3	10.0	13.0	36.0	26.0
ENSG00000100263	RHBDD3	0.0	0.0	15.0	36.0
ENSG00000174740	PABPC5	3.0	0.0	36.0	11.0
ENSG00000188467	SLC24A5	36.0	16.0	4.0	0.0
ENSG00000064687	ABCA7	32.0	14.0	0.0	36.0
ENSG00000146038	DCDC2	36.0	29.0	25.0	34.0
ENSG00000169495	HTRA4	11.0	0.0	36.0	3.0
ENSG00000178882	FAM101A	1.0	7.0	36.0	8.0
ENSG00000124491	F13A1	0.0	9.0	36.0	21.0
ENSG00000250305	KIAA1456	5.0	2.0	8.0	36.0
ENSG00000046647	GEMIN8	8.0	22.0	36.0	34.0
ENSG00000160688	FLAD1	36.0	19.0	30.0	28.0
ENSG00000179922	ZNF784	26.0	12.0	7.0	36.0
ENSG00000162069	CCDC64B	4.0	0.0	3.0	36.0
ENSG00000077616	NAALAD2	14.0	23.0	36.0	23.0
ENSG00000100599	RIN3	22.0	2.0	29.0	36.0
ENSG00000182224	CYB5D1	30.0	28.0	15.0	36.0
ENSG00000198010	DLGAP2	9.0	36.0	0.0	0.0
ENSG00000179588	ZFPM1	11.0	0.0	35.0	36.0
ENSG00000186352	ANKRD37	27.0	21.0	36.0	12.0
ENSG00000137225	CAPN11	36.0	10.0	29.0	32.0
ENSG00000132207	SLX1A	36.0	15.0	17.0	15.0
ENSG00000138835	RGS3	7.0	36.0	0.0	33.0
ENSG00000105516	DBP	2.0	5.0	36.0	12.0
ENSG00000171960	PPIH	20.0	14.0	36.0	20.0
ENSG00000105679	GAPDHS	8.0	36.0	14.0	16.0
ENSG00000075035	WSCD2	19.0	3.0	36.0	22.0
ENSG00000135736	CCDC102A	1.0	1.0	5.0	36.0
ENSG00000181656	GPR88	36.0	0.0	33.0	4.0
ENSG00000205544	TMEM256	30.0	10.0	24.0	36.0
ENSG00000204851	PNMAL2	18.0	36.0	11.0	30.0
ENSG00000100883	SRP54	17.0	16.0	36.0	34.0
ENSG00000199231	snoU2_19	19.0	4.0	12.0	36.0
ENSG00000214842	RAD51AP2	12.0	36.0	8.0	6.0
ENSG00000134574	DDB2	6.0	11.0	3.0	37.0
ENSG00000112877	CEP72	24.0	5.0	37.0	22.0
ENSG00000133665	DYDC2	8.0	37.0	3.0	2.0
ENSG00000100417	PMM1	18.0	9.0	13.0	37.0
ENSG00000087903	RFX2	20.0	37.0	14.0	28.0
ENSG00000110104	CCDC86	25.0	21.0	23.0	37.0
ENSG00000115425	PECR	37.0	18.0	36.0	23.0
ENSG00000143811	PYCR2	13.0	28.0	4.0	37.0
ENSG00000101444	AHCY	6.0	34.0	37.0	20.0
ENSG00000011009	LYPLA2	37.0	2.0	27.0	34.0
ENSG00000107404	DVL1	21.0	14.0	36.0	37.0
ENSG00000224051	CPTP	30.0	17.0	37.0	30.0
ENSG00000233493	TMEM238	5.0	13.0	10.0	37.0
ENSG00000087076	HSD17B14	37.0	24.0	10.0	6.0
ENSG00000102362	SYTL4	10.0	4.0	37.0	27.0
ENSG00000137648	TMPRSS4	0.0	0.0	37.0	0.0
ENSG00000109832	DDX25	37.0	32.0	14.0	2.0
ENSG00000112706	IMPG1	37.0	1.0	0.0	0.0
ENSG00000005379	BZRAP1	4.0	6.0	13.0	37.0
ENSG00000093217	XYLB	8.0	5.0	37.0	8.0
ENSG00000144120	TMEM177	10.0	7.0	37.0	20.0
ENSG00000103326	CAPN15	37.0	21.0	5.0	28.0
ENSG00000078237	C12orf5	11.0	12.0	35.0	37.0
ENSG00000150756	FAM173B	37.0	27.0	18.0	24.0
ENSG00000105520	LPPR2	32.0	13.0	28.0	37.0
ENSG00000100300	TSPO	0.0	0.0	15.0	37.0
ENSG00000157036	EXOG	37.0	7.0	19.0	31.0
ENSG00000179813	FAM216B	7.0	28.0	37.0	1.0
ENSG00000128626	MRPS12	27.0	18.0	34.0	37.0
ENSG00000164713	BRI3	6.0	7.0	6.0	37.0
ENSG00000162377	COA7	15.0	17.0	34.0	37.0
ENSG00000118849	RARRES1	1.0	37.0	34.0	0.0
ENSG00000174946	GPR171	25.0	35.0	37.0	8.0
ENSG00000104889	RNASEH2A	31.0	10.0	24.0	37.0
ENSG00000148848	ADAM12	37.0	26.0	1.0	3.0
ENSG00000187260	WDR86	6.0	4.0	8.0	37.0
ENSG00000099840	IZUMO4	9.0	7.0	13.0	37.0
ENSG00000115459	ELMOD3	23.0	9.0	9.0	37.0
ENSG00000171863	RPS7	21.0	17.0	37.0	14.0
ENSG00000218739	CEBPZOS	22.0	8.0	27.0	37.0
ENSG00000158113	LRRC43	37.0	22.0	1.0	0.0
ENSG00000148123	RP11-35N6.1	16.0	13.0	37.0	15.0
ENSG00000179862	CITED4	1.0	0.0	15.0	37.0
ENSG00000136531	SCN2A	31.0	25.0	37.0	23.0
ENSG00000187889	C1orf168	37.0	32.0	7.0	4.0
